name,credit,personal,corp
더블유에스비2312유동화전문(유),1,0,0
더블유에스2409유동화전문(유),1,0,0
더블유아이2511유동화전문(유),1,0,0
더블유아이2406유동화전문(유),1,0,0
더블유아이2311유동화전문(유),1,0,0
더블유아이2209유동화전문(유),1,0,0
더블유아이2203유동화전문(유),1,0,0
더블유비에스2312유동화전문(유),1,0,0
더블유비2309유동화전문(유),1,0,0
더블유디에스비2503유동화전문(유),1,0,0
흥국생명보험(주)신탁팀1,1,0,0
한우리유통(주),1,0,0
한국투자증권(주)신탁부,1,0,0
한국자산관리공사(캠코),1,1,1
하나증권(주)신탁6,1,0,0
하나증권(주)신탁5,1,0,0
하나증권(주)신탁4,1,0,0
하나증권(주)신탁3,1,0,0
하나증권(주)신탁2,1,0,0
팝펀딩(주),1,0,0
큐브아이대부(유),1,0,0
케이피자산관리대부(주),1,0,0
청담인베스트먼트대부,1,0,0
진우파트너스대부,1,0,0
지니에셋일차(유),1,0,0
제이호더블류홀딩스자산대부(주),1,0,0
제이디대부(유),1,0,0
제네시스제이차유한회사,1,0,0
제네시스제사차 유한회사,1,0,0
정대부(김영호),1,0,0
이코멕스자산관리대부일차에쿼티(주),1,0,0
이코멕스자산관리대부구차에쿼티(유),1,0,0
유일자산관리대부(최윤정),1,0,0
위더스케이대부㈜,1,0,0
위더스자산대부(주),1,0,0
원캐피탈대부(주),1,0,0
와이엔피원대부(유),1,0,0
옥타대부,1,0,0
엔에이치투자증권(주)신탁부99,1,0,0
엔에이치투자증권(주)신탁부98,1,0,0
엔에이치투자증권(주)신탁부97,1,0,0
엔에이치투자증권(주)신탁부96,1,0,0
엔에이치투자증권(주)신탁부95,1,0,0
엔에이치투자증권(주)신탁부94,1,0,0
엔에이치투자증권(주)신탁부93,1,0,0
엔에이치투자증권(주)신탁부92,1,0,0
엔에이치투자증권(주)신탁부91,1,0,0
엔에이치투자증권(주)신탁부90,1,0,0
엔에이치투자증권(주)신탁부89,1,0,0
엔에이치투자증권(주)신탁부88,1,0,0
엔에이치투자증권(주)신탁부87,1,0,0
엔에이치투자증권(주)신탁부86,1,0,0
엔에이치투자증권(주)신탁부85,1,0,0
엔에이치투자증권(주)신탁부84,1,0,0
엔에이치투자증권(주)신탁부83,1,0,0
엔에이치투자증권(주)신탁부82,1,0,0
엔에이치투자증권(주)신탁부81,1,0,0
엔에이치투자증권(주)신탁부80,1,0,0
엔에이치투자증권(주)신탁부8,1,0,0
엔에이치투자증권(주)신탁부79,1,0,0
엔에이치투자증권(주)신탁부78,1,0,0
엔에이치투자증권(주)신탁부77,1,0,0
엔에이치투자증권(주)신탁부76,1,0,0
엔에이치투자증권(주)신탁부75,1,0,0
엔에이치투자증권(주)신탁부74,1,0,0
엔에이치투자증권(주)신탁부73,1,0,0
엔에이치투자증권(주)신탁부71,1,0,0
엔에이치투자증권(주)신탁부70,1,0,0
엔에이치투자증권(주)신탁부7,1,0,0
엔에이치투자증권(주)신탁부69,1,0,0
엔에이치투자증권(주)신탁부68,1,0,0
엔에이치투자증권(주)신탁부67,1,0,0
엔에이치투자증권(주)신탁부66,1,0,0
엔에이치투자증권(주)신탁부65,1,0,0
엔에이치투자증권(주)신탁부64,1,0,0
엔에이치투자증권(주)신탁부63,1,0,0
엔에이치투자증권(주)신탁부62,1,0,0
엔에이치투자증권(주)신탁부61,1,0,0
엔에이치투자증권(주)신탁부60,1,0,0
엔에이치투자증권(주)신탁부6,1,0,0
엔에이치투자증권(주)신탁부59,1,0,0
엔에이치투자증권(주)신탁부58,1,0,0
엔에이치투자증권(주)신탁부57,1,0,0
엔에이치투자증권(주)신탁부56,1,0,0
엔에이치투자증권(주)신탁부55,1,0,0
엔에이치투자증권(주)신탁부54,1,0,0
엔에이치투자증권(주)신탁부53,1,0,0
엔에이치투자증권(주)신탁부52,1,0,0
엔에이치투자증권(주)신탁부51,1,0,0
엔에이치투자증권(주)신탁부50,1,0,0
엔에이치투자증권(주)신탁부5,1,0,0
엔에이치투자증권(주)신탁부49,1,0,0
엔에이치투자증권(주)신탁부48,1,0,0
엔에이치투자증권(주)신탁부47,1,0,0
엔에이치투자증권(주)신탁부46,1,0,0
엔에이치투자증권(주)신탁부45,1,0,0
엔에이치투자증권(주)신탁부41,1,0,0
엔에이치투자증권(주)신탁부40,1,0,0
엔에이치투자증권(주)신탁부4,1,0,0
엔에이치투자증권(주)신탁부39,1,0,0
엔에이치투자증권(주)신탁부38,1,0,0
엔에이치투자증권(주)신탁부37,1,0,0
엔에이치투자증권(주)신탁부36,1,0,0
엔에이치투자증권(주)신탁부35,1,0,0
엔에이치투자증권(주)신탁부34,1,0,0
엔에이치투자증권(주)신탁부33,1,0,0
엔에이치투자증권(주)신탁부32,1,0,0
엔에이치투자증권(주)신탁부31,1,0,0
엔에이치투자증권(주)신탁부30,1,0,0
엔에이치투자증권(주)신탁부3,1,0,0
엔에이치투자증권(주)신탁부29,1,0,0
엔에이치투자증권(주)신탁부28,1,0,0
엔에이치투자증권(주)신탁부27,1,0,0
엔에이치투자증권(주)신탁부26,1,0,0
엔에이치투자증권(주)신탁부25,1,0,0
엔에이치투자증권(주)신탁부24,1,0,0
엔에이치투자증권(주)신탁부23,1,0,0
엔에이치투자증권(주)신탁부22,1,0,0
엔에이치투자증권(주)신탁부21,1,0,0
엔에이치투자증권(주)신탁부20,1,0,0
엔에이치투자증권(주)신탁부2,1,0,0
엔에이치투자증권(주)신탁부19,1,0,0
엔에이치투자증권(주)신탁부18,1,0,0
엔에이치투자증권(주)신탁부17,1,0,0
엔에이치투자증권(주)신탁부16,1,0,0
엔에이치투자증권(주)신탁부14,1,0,0
엔에이치투자증권(주)신탁부12,1,0,0
